"Site","WS","gseason","WD","n"
"Canoe","(9, Inf]","Winter","30",1918
"Canoe","(9, Inf]","Winter","60",1312
"Canoe","(9, Inf]","Winter","90",510
"Canoe","(9, Inf]","Winter","120",1533
"Canoe","(9, Inf]","Winter","150",17142
"Canoe","(9, Inf]","Winter","180",9196
"Canoe","(9, Inf]","Winter","210",1265
"Canoe","(9, Inf]","Winter","240",409
"Canoe","(9, Inf]","Winter","270",121
"Canoe","(9, Inf]","Winter","300",61
"Canoe","(9, Inf]","Winter","330",277
"Canoe","(6,9]","Summer","0",410
"Canoe","(6,9]","Summer","30",442
"Canoe","(6,9]","Summer","60",226
"Canoe","(6,9]","Summer","90",184
"Canoe","(6,9]","Summer","120",386
"Canoe","(6,9]","Summer","150",455
"Canoe","(6,9]","Summer","180",293
"Canoe","(6,9]","Summer","210",244
"Canoe","(6,9]","Summer","240",206
"Canoe","(6,9]","Summer","270",166
"Canoe","(6,9]","Summer","300",160
"Canoe","(6,9]","Summer","330",221
"Canoe","(6,9]","Winter","0",272
"Canoe","(6,9]","Winter","30",330
"Canoe","(6,9]","Winter","60",149
"Canoe","(6,9]","Winter","90",162
"Canoe","(6,9]","Winter","120",299
"Canoe","(6,9]","Winter","150",459
"Canoe","(6,9]","Winter","180",235
"Canoe","(6,9]","Winter","210",96
"Canoe","(6,9]","Winter","240",68
"Canoe","(6,9]","Winter","270",43
"Canoe","(6,9]","Winter","300",38
"Canoe","(6,9]","Winter","330",95
"Canoe","(3,6]","Summer","0",250
"Canoe","(3,6]","Summer","30",250
"Canoe","(3,6]","Summer","60",187
"Canoe","(3,6]","Summer","90",274
"Canoe","(3,6]","Summer","120",380
"Canoe","(3,6]","Summer","150",237
"Canoe","(3,6]","Summer","180",141
"Canoe","(3,6]","Summer","210",128
"Canoe","(3,6]","Summer","240",151
"Canoe","(3,6]","Summer","270",119
"Canoe","(3,6]","Summer","300",133
"Canoe","(3,6]","Summer","330",161
"Canoe","(3,6]","Winter","0",214
"Canoe","(3,6]","Winter","30",264
"Canoe","(3,6]","Winter","60",209
"Canoe","(3,6]","Winter","90",259
"Canoe","(3,6]","Winter","120",328
"Canoe","(3,6]","Winter","150",360
"Canoe","(3,6]","Winter","180",184
"Canoe","(3,6]","Winter","210",87
"Canoe","(3,6]","Winter","240",54
"Canoe","(3,6]","Winter","270",38
"Canoe","(3,6]","Winter","300",49
"Canoe","(3,6]","Winter","330",84
"Canoe","(-Inf,3]","Summer","0",276
"Canoe","(-Inf,3]","Summer","30",205
"Canoe","(-Inf,3]","Summer","60",144
"Canoe","(-Inf,3]","Summer","90",169
"Canoe","(-Inf,3]","Summer","120",205
"Canoe","(-Inf,3]","Summer","150",228
"Canoe","(-Inf,3]","Summer","180",130
"Canoe","(-Inf,3]","Summer","210",70
"Canoe","(-Inf,3]","Summer","240",77
"Canoe","(-Inf,3]","Summer","270",68
"Canoe","(-Inf,3]","Summer","300",77
"Canoe","(-Inf,3]","Summer","330",123
"Canoe","(-Inf,3]","Winter","0",759
"Canoe","(-Inf,3]","Winter","30",602
"Canoe","(-Inf,3]","Winter","60",728
"Canoe","(-Inf,3]","Winter","90",671
"Canoe","(-Inf,3]","Winter","120",746
"Canoe","(-Inf,3]","Winter","150",4779
"Canoe","(-Inf,3]","Winter","180",2154
"Canoe","(-Inf,3]","Winter","210",273
