"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Endako","Winter (Oct-Apr)","mean",-3.63,-8.79,1.37,0.81,913.97,81.39,-6.64,0.62,1.82,4.63,74.71,0.14,NA,NA,1,34.93,NA
"Endako","Winter (Oct-Apr)","max",13.61,9.85,23.02,34,943.42,97.23,9.98,4.01,89.97,18.37,319.37,0.52,-Inf,-Inf,1,100,-Inf
"Endako","Winter (Oct-Apr)","min",-34.22,-40.06,-26.08,0,879.18,38.02,-37.23,0,270.03,0,1.7,0,Inf,Inf,1,0,Inf
"Endako","Winter (Oct-Apr)","obs_na",0,0,0,0,208,0,0,0,14,0,0,2186,3795,3795,3793,0,3795
"George Lake","Summer (May-Sep)","mean",12.12,Inf,-Inf,1.28,913.7,69.14,5.72,0.42,6.34,4.19,172.25,0.1,NA,NA,10.94,28.35,NA
"George Lake","Summer (May-Sep)","max",28.31,Inf,38.25,66.61,932.04,99.01,14.78,3.01,89.97,12.99,375.52,0.23,-Inf,-Inf,15.64,100,-Inf
"George Lake","Summer (May-Sep)","min",0.04,-6.42,-Inf,0,886.68,29.56,-8.17,0,270.07,0,16.13,0,Inf,Inf,0.24,0,Inf
"George Lake","Summer (May-Sep)","obs_na",342,0,0,187,0,342,342,0,206,0,204,1749,2701,2701,2406,150,2701
"George Lake","Winter (Oct-Apr)","mean",-3.32,Inf,-Inf,0.84,910.8,82.2,-6.31,0.4,0.92,3.57,57.77,0.11,NA,NA,1.57,35.71,NA
"George Lake","Winter (Oct-Apr)","max",14.21,Inf,25.65,28.6,940.04,100,10.35,4.39,89.89,15.21,301.13,0.27,-Inf,-Inf,8.91,100,-Inf
"George Lake","Winter (Oct-Apr)","min",-34.1,-39.22,-Inf,0,875.77,39.01,-37.22,0,270.08,0,0.92,0,Inf,Inf,-0.92,0,Inf
"George Lake","Winter (Oct-Apr)","obs_na",218,0,0,284,0,218,218,0,273,0,212,2294,3823,3823,3480,206,3823
"Gnat Pass","Summer (May-Sep)","mean",6.39,3.6,9.71,1.89,831.47,77.34,2.27,3.62,12.44,11.53,193.87,NA,NA,NA,NA,NA,NA
"Gnat Pass","Summer (May-Sep)","max",17.99,14.19,22.01,21.4,846.79,98.61,9.43,11.31,89.84,33.77,396.76,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
